code,name,barcode,unit,is_active,sale_price,ncm
1,MASSA CONCHIGLIONE,1,KG,0,16.9,19022000
2,MASSA RONDELE,2,KG,0,15.9,19022000
3,ABOBRINHA AO FORNO,3,KG,0,30.9,20049000
4,TOMATE SECO,4,KG,0,56.5,20021000
5,BERINJELA SECA,5,KG,0,42,20049000
6,ANTEPASTO DE BERINJELA,6,KG,0,29.9,20049000
7,SARDELA,7,KG,0,41.9,16041310
8,MAIONESE,8,KG,0,22.9,21039011
9,SALPICAO,9,KG,0,24.5,16023200
10,DIVERSOS,10,UN,0,1,19021900
11,MASSA LASANHA,11,KG,0,11.9,19022000
12,SUSPIRO,12,UN,0,7,17049090
13,SOBREMESAS,13,UN,0,1,
14,SALGADOS,14,UN,0,12,19059090
15,JORNAL,15,UN,0,3.5,49029000
16,TALHARIM BRANCO,16,KG,0,17,19022000
17,TALHARIM COM BROCOLIS,17,KG,0,24.9,19022000
18,CUSCUZ DE SARDINHA,18,KG,0,26.5,19022000
19,CUSCUZ DE FRANGO,19,KG,0,24.5,19022000
20,MASSA SIMPLES CONGELADA PROMOCAO,20,KG,0,15.95,19022000
21,MOLHO TOMATE AO SUGO,21,KG,0,17.9,21032010
22,MOLHO TOMATE BOLONHESA,22,KG,0,22.9,21032010
23,MOLHO BRANCO,23,KG,0,14.9,21039091
24,MOLHO BRANCO GORGONZOLA,24,KG,0,17.9,21039091
25,MOLHO PESTO,25,KG,0,47.9,21032090
26,MOLHO POMODORO,26,KG,0,19.9,21032010
27,TALHARIM INTEGRAL,27,KG,0,17.9,19022000
28,TALHARIM DE ESPINAFRE,28,KG,0,17.9,19022000
29,PANQUECA DE PALMITO CREMOSO,29,KG,0,38.9,19023000
30,PANQUECA DE CARNE,30,KG,0,42,19023000
31,PANQUECA PRES MUSSA,31,KG,0,38.9,19023000
32,PANQUECA QUATRO QUEIJOS,32,KG,0,38.9,19023000
33,PANQUECA DE FRANGO,33,KG,0,38.9,19023000
34,MASSA DE PANQUECA,34,KG,0,24.9,19023000
35,PANQUECA FRANGO C/  PALMITO,35,KG,0,38.9,19022000
36,PANQUECA RIC C/ ESPINAFRE,36,KG,0,38.9,19023000
37,PANQUECA CALABRESA MUSSARELA,37,KG,0,38.9,19023000
38,PANQUECA DE FRANGO CREMOSO,38,KG,0,38.9,19023000
39,PUDIM DA CASA,39,KG,0,26.9,21069021
40,COUVE REFOGADA,40,KG,0,28.9,20055900
41,FEIJAO,41,KG,0,17,19049000
42,ARROZ,42,KG,0,17,19049000
43,CREME DE MILHO,43,KG,0,30.5,21042000
44,BOLO SALGADO,44,KG,0,31,19059090
45,PARMESAO RALADO,45,KG,0,58,4069010
46,CALDO,46,KG,0,23.9,21041021
47,MOLHO TRES QUEIJOS,47,KG,0,17.9,21039091
48,FAROFA DOCE,48,KG,0,31.9,19022000
49,FAROFA SALGADA,49,KG,0,31.9,19022000
50,ALMONDEGA,50,KG,0,43.9,16021000
51,LAGARTO FATIADO,51,KG,0,64.9,16021000
52,DOBRADINHA,52,KG,0,43.9,16021000
53,FRANGO ASSADO COM FAROFA E LEGUMES,53,KG,0,27,16021000
54,LOMBO FATIADO C/ LEGUMES,54,KG,0,47.5,16021000
55,ROCAMBOLE COM  LEGUMES,55,KG,0,48.9,16021000
56,PERNIL COM LEGUMES,56,KG,0,47.5,16021000
57,COSTELINHA SUINA C/ LEGUMES,57,KG,0,53.5,16021000
58,PALETA C/ MOLHO E LEGUMES,58,KG,0,61.9,16021000
59,FEIJOADA,59,KG,0,34.9,19022000
60,BIFE A ROLE,60,KG,0,48.9,16021000
61,PEITO DE FRANGO C/ MOLHO E LEGUMES,61,KG,0,39.9,16021000
62,TENDER COM LEGUMES,62,KG,0,47.5,16021000
63,PERU,63,KG,0,46.5,16021000
64,ENR FILE MIGNON C/ MOLHO E LEGUMES,64,KG,0,89.9,16021000
65,BACALHOADA,65,KG,0,65,19022000
66,FILE BOVINO PARMEGIANA,66,KG,0,45.9,16021000
